Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
48,-0.11310000000000001,16.3489,0.12759000000000001,11.1,12.199999999999999,12.9,13.300000000000001,13.9,14.300000000000001,15,16.300000000000001,17.800000000000001,18.699999999999999,19.300000000000001,20.199999999999999,20.899999999999999,22.100000000000001,24.5
49,-0.11650000000000001,16.515000000000001,0.12819,11.199999999999999,12.300000000000001,13,13.4,14,14.5,15.199999999999999,16.5,18,18.899999999999999,19.5,20.399999999999999,21.100000000000001,22.399999999999999,24.800000000000001
50,-0.1198,16.681100000000001,0.1288,11.300000000000001,12.4,13.1,13.5,14.199999999999999,14.6,15.300000000000001,16.699999999999999,18.199999999999999,19.100000000000001,19.699999999999999,20.699999999999999,21.300000000000001,22.600000000000001,25.100000000000001
51,-0.123,16.847100000000001,0.12942999999999999,11.4,12.5,13.300000000000001,13.699999999999999,14.300000000000001,14.699999999999999,15.4,16.800000000000001,18.399999999999999,19.300000000000001,19.899999999999999,20.899999999999999,21.600000000000001,22.899999999999999,25.399999999999999
52,-0.12620000000000001,17.013200000000001,0.13005,11.5,12.6,13.4,13.800000000000001,14.4,14.9,15.6,17,18.600000000000001,19.5,20.100000000000001,21.100000000000001,21.800000000000001,23.199999999999999,25.699999999999999
53,-0.12939999999999999,17.179200000000002,0.13069,11.6,12.699999999999999,13.5,13.9,14.6,15,15.699999999999999,17.199999999999999,18.800000000000001,19.699999999999999,20.300000000000001,21.399999999999999,22.100000000000001,23.399999999999999,26
54,-0.13250000000000001,17.345199999999998,0.13133,11.699999999999999,12.9,13.6,14,14.699999999999999,15.199999999999999,15.9,17.300000000000001,19,19.899999999999999,20.600000000000001,21.600000000000001,22.300000000000001,23.699999999999999,26.300000000000001
55,-0.1356,17.511099999999999,0.13197,11.800000000000001,13,13.699999999999999,14.1,14.800000000000001,15.300000000000001,16,17.5,19.199999999999999,20.100000000000001,20.800000000000001,21.800000000000001,22.5,24,26.600000000000001
56,-0.13869999999999999,17.6768,0.13261000000000001,11.9,13.1,13.800000000000001,14.300000000000001,14.9,15.4,16.199999999999999,17.699999999999999,19.300000000000001,20.300000000000001,21,22.100000000000001,22.800000000000001,24.199999999999999,27
57,-0.14169999999999999,17.842199999999998,0.13325000000000001,12,13.199999999999999,13.9,14.4,15.1,15.6,16.300000000000001,17.800000000000001,19.5,20.5,21.199999999999999,22.300000000000001,23,24.5,27.300000000000001
58,-0.1447,18.007300000000001,0.13389000000000001,12,13.300000000000001,14.1,14.5,15.199999999999999,15.699999999999999,16.5,18,19.699999999999999,20.699999999999999,21.399999999999999,22.5,23.300000000000001,24.800000000000001,27.600000000000001
59,-0.1477,18.1722,0.13453000000000001,12.1,13.4,14.199999999999999,14.6,15.300000000000001,15.800000000000001,16.600000000000001,18.199999999999999,19.899999999999999,20.899999999999999,21.600000000000001,22.800000000000001,23.5,25,27.899999999999999
60,-0.15060000000000001,18.336600000000001,0.13517000000000001,12.199999999999999,13.5,14.300000000000001,14.699999999999999,15.5,16,16.699999999999999,18.300000000000001,20.100000000000001,21.100000000000001,21.899999999999999,23,23.800000000000001,25.300000000000001,28.199999999999999
