Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
34,-0.31709999999999999,13.473100000000001,0.12794,9.3000000000000007,10.1,10.699999999999999,11,11.5,11.800000000000001,12.4,13.5,14.699999999999999,15.4,15.9,16.800000000000001,17.300000000000001,18.399999999999999,20.600000000000001
35,-0.31859999999999999,13.661799999999999,0.12855,9.4000000000000004,10.300000000000001,10.800000000000001,11.1,11.6,12,12.5,13.699999999999999,14.9,15.699999999999999,16.199999999999999,17,17.600000000000001,18.699999999999999,20.899999999999999
36,-0.3201,13.850300000000001,0.12919,9.5,10.4,11,11.300000000000001,11.800000000000001,12.1,12.699999999999999,13.9,15.1,15.9,16.399999999999999,17.300000000000001,17.800000000000001,19,21.199999999999999
37,-0.3216,14.038500000000001,0.12988,9.5999999999999996,10.5,11.1,11.4,11.9,12.300000000000001,12.9,14,15.300000000000001,16.100000000000001,16.699999999999999,17.5,18.100000000000001,19.300000000000001,21.600000000000001
38,-0.32300000000000001,14.2265,0.13059000000000001,9.6999999999999993,10.6,11.199999999999999,11.6,12.1,12.5,13,14.199999999999999,15.6,16.300000000000001,16.899999999999999,17.800000000000001,18.399999999999999,19.600000000000001,21.899999999999999
39,-0.32429999999999998,14.414,0.13134999999999999,9.8000000000000007,10.800000000000001,11.4,11.699999999999999,12.199999999999999,12.6,13.199999999999999,14.4,15.800000000000001,16.600000000000001,17.100000000000001,18,18.600000000000001,19.899999999999999,22.300000000000001
40,-0.32569999999999999,14.601000000000001,0.13213,10,10.9,11.5,11.800000000000001,12.4,12.800000000000001,13.4,14.6,16,16.800000000000001,17.399999999999999,18.300000000000001,18.899999999999999,20.199999999999999,22.600000000000001
41,-0.32700000000000001,14.7873,0.13292999999999999,10.1,11,11.6,12,12.5,12.9,13.5,14.800000000000001,16.199999999999999,17,17.600000000000001,18.600000000000001,19.199999999999999,20.5,23
42,-0.32829999999999998,14.9727,0.13375999999999999,10.199999999999999,11.1,11.800000000000001,12.1,12.699999999999999,13.1,13.699999999999999,15,16.399999999999999,17.300000000000001,17.899999999999999,18.800000000000001,19.5,20.800000000000001,23.300000000000001
43,-0.3296,15.157299999999999,0.1346,10.300000000000001,11.300000000000001,11.9,12.199999999999999,12.800000000000001,13.199999999999999,13.9,15.199999999999999,16.600000000000001,17.5,18.100000000000001,19.100000000000001,19.699999999999999,21.100000000000001,23.699999999999999
44,-0.33090000000000003,15.340999999999999,0.13544999999999999,10.4,11.4,12,12.4,13,13.4,14,15.300000000000001,16.800000000000001,17.699999999999999,18.300000000000001,19.300000000000001,20,21.399999999999999,24.100000000000001
45,-0.3322,15.523999999999999,0.1363,10.5,11.5,12.1,12.5,13.1,13.5,14.199999999999999,15.5,17,17.899999999999999,18.600000000000001,19.600000000000001,20.300000000000001,21.699999999999999,24.399999999999999
46,-0.33350000000000002,15.7064,0.13716,10.6,11.6,12.300000000000001,12.6,13.199999999999999,13.699999999999999,14.300000000000001,15.699999999999999,17.300000000000001,18.199999999999999,18.800000000000001,19.899999999999999,20.600000000000001,22,24.800000000000001
47,-0.33479999999999999,15.888199999999999,0.13800000000000001,10.699999999999999,11.699999999999999,12.4,12.800000000000001,13.4,13.800000000000001,14.5,15.9,17.5,18.399999999999999,19.100000000000001,20.100000000000001,20.800000000000001,22.300000000000001,25.199999999999999
48,-0.33610000000000001,16.069700000000001,0.13883999999999999,10.800000000000001,11.800000000000001,12.5,12.9,13.5,14,14.699999999999999,16.100000000000001,17.699999999999999,18.600000000000001,19.300000000000001,20.399999999999999,21.100000000000001,22.600000000000001,25.5
49,-0.33739999999999998,16.251100000000001,0.13968,10.9,11.9,12.6,13,13.699999999999999,14.1,14.800000000000001,16.300000000000001,17.899999999999999,18.899999999999999,19.5,20.600000000000001,21.399999999999999,22.899999999999999,25.899999999999999
50,-0.3387,16.432200000000002,0.14051,11,12.1,12.800000000000001,13.199999999999999,13.800000000000001,14.300000000000001,15,16.399999999999999,18.100000000000001,19.100000000000001,19.800000000000001,20.899999999999999,21.699999999999999,23.199999999999999,26.300000000000001
51,-0.34000000000000002,16.613299999999999,0.14132,11.1,12.199999999999999,12.9,13.300000000000001,13.9,14.4,15.1,16.600000000000001,18.300000000000001,19.300000000000001,20,21.199999999999999,22,23.5,26.699999999999999
52,-0.34139999999999998,16.7942,0.14213000000000001,11.199999999999999,12.300000000000001,13,13.4,14.1,14.5,15.300000000000001,16.800000000000001,18.5,19.5,20.300000000000001,21.399999999999999,22.199999999999999,23.899999999999999,27
53,-0.3427,16.974799999999998,0.14293,11.300000000000001,12.4,13.1,13.5,14.199999999999999,14.699999999999999,15.4,17,18.699999999999999,19.800000000000001,20.5,21.699999999999999,22.5,24.199999999999999,27.399999999999999
54,-0.34399999999999997,17.155100000000001,0.14371,11.300000000000001,12.5,13.199999999999999,13.699999999999999,14.300000000000001,14.800000000000001,15.6,17.199999999999999,18.899999999999999,20,20.800000000000001,22,22.800000000000001,24.5,27.800000000000001
55,-0.3453,17.334700000000002,0.14448,11.4,12.6,13.4,13.800000000000001,14.5,15,15.800000000000001,17.300000000000001,19.100000000000001,20.199999999999999,21,22.199999999999999,23.100000000000001,24.800000000000001,28.199999999999999
56,-0.34660000000000002,17.5136,0.14524999999999999,11.5,12.699999999999999,13.5,13.9,14.6,15.1,15.9,17.5,19.300000000000001,20.399999999999999,21.199999999999999,22.5,23.300000000000001,25.100000000000001,28.5
57,-0.34789999999999999,17.691600000000001,0.14599999999999999,11.6,12.800000000000001,13.6,14,14.800000000000001,15.300000000000001,16.100000000000001,17.699999999999999,19.600000000000001,20.699999999999999,21.5,22.699999999999999,23.600000000000001,25.399999999999999,28.899999999999999
58,-0.34920000000000001,17.868600000000001,0.14674999999999999,11.699999999999999,12.9,13.699999999999999,14.199999999999999,14.9,15.4,16.199999999999999,17.899999999999999,19.800000000000001,20.899999999999999,21.699999999999999,23,23.899999999999999,25.699999999999999,29.300000000000001
59,-0.35049999999999998,18.044499999999999,0.14748,11.800000000000001,13.1,13.800000000000001,14.300000000000001,15,15.5,16.399999999999999,18,20,21.100000000000001,21.899999999999999,23.300000000000001,24.199999999999999,26,29.600000000000001
60,-0.3518,18.2193,0.14821000000000001,11.9,13.199999999999999,14,14.4,15.199999999999999,15.699999999999999,16.5,18.199999999999999,20.199999999999999,21.300000000000001,22.199999999999999,23.5,24.399999999999999,26.300000000000001,30
